Título,Compositor,Época,Género,Formato vocal,Acompañamiento,Idioma,Dificultad,Ediciones,PDFs,MIDIs,IMSLP URL
Benedictus,Lorenzo Perosi,Romanticismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,2,0,
"Boga, boga",Popular Vasca,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,2,0,
Bogoroditse Devo,Sergei Rachmaninoff,Romanticismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Brindis,W.A. Mozart,Clasicismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Caballero de Gracia,Federico Chueca,Zarzuela,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Cantata extremeña de la Vera Baja,García Muñoz,Contemporáneo,Cantata,SATB,,Español,,1,2,0,
Canticorum Iubilo,G.F. Händel,Barroco,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
"Cerca de ti, Señor",Tradicional inglés,Tradicional,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Christus factus est,Anton Bruckner,,,SATB,,,,0,0,0,https://imslp.org/wiki/Christus_factus_est%2C_WAB_11_%28Bruckner%2C_Anton%29
"Come, sweet death",Johann Sebastian Bach,,,SATB,,,,0,0,0,
Con qué la lavaré,Cancionero de Uppsala,Renacimiento,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Confirma hoc Deus,George Frideric Handel,,,SATB,,,,0,0,0,
Confutatis (Réquiem),W.A. Mozart,Clasicismo,Réquiem,SATB,,Latín,,1,1,0,
Contrapunto,Anónimo,Contemporáneo,Ejercicio,SATB,,Español,,1,1,0,
Coro de la Amistad,Anónimo,Contemporáneo,Popular,SATB,,Español,,1,1,0,
Coro de los Repatriados,Anónimo,Contemporáneo,Popular,SATB,,Español,,1,2,0,
Coro de los Románticos,Anónimo,Romanticismo,Popular,SATB,,Español,,1,1,0,
Crucifixus,Antonio Lotti,,,SATB,,,,0,0,0,https://imslp.org/wiki/Crucifixus_a_10_voci_%28Lotti%2C_Antonio%29
Da pacem,Domine Melchior Franck,Renacimiento,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,https://imslp.org/wiki/Da_pacem_Domine_in_diebus_nostris_%28Franck%2C_Melchior%29
Da pacem Domine,Arvo Pärt,,,SATB,,,,0,0,0,
Da pacem Domine,Melchior Franck,,,SATB,,,,0,0,0,https://imslp.org/wiki/Da_pacem_Domine_in_diebus_nostris_%28Franck%2C_Melchior%29
Dadme albricias,Cancionero de Palacio,Renacimiento,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,0,
Der Geist hilft unser Schwachheit auf,Johann Sebastian Bach,,,SATB,,,,0,0,0,https://imslp.org/wiki/Der_Geist_hilft_unser_Schwachheit_auf%2C_BWV_226_%28Bach%2C_Johann_Sebastian%29
Dime niño,Anónimo,Contemporáneo,Villancico,SATB,,Español,,1,1,0,
Dixit Dominus,George Frideric Handel,,,SSATB,,,,0,0,0,https://imslp.org/wiki/Dixit_Dominus%2C_HWV_232_%28Handel%2C_George_Frideric%29
Domine deus,J. Haydn,Clasicismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,1,0,
"Dona la pace,",Signore Dino Stella,Siglo XX,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
Dona nobis pacem,W.A. Mozart,Clasicismo,Repertorio del coro (piloto),SATB/variable,A cappella / acompañado,Varios,Por definir,1,0,0,
"Du Lebensfürst, Herr Jesu Christ",J.S. Bach,Barroco,Coral,SATB,,Alemán,,1,1,0,
